Publisher,Comic_Issue_Number,Title,Description,Condition,Grade_Condition,Price_Paid,Price_Tag
DC,95,Brave and the Bold,Brave and the Bold (Batman and BlakeSnake),"O.K Has 10 Writen over batman, corners are good.",B,51.96,67.55
Marvel,1,Tarzan,Tarzan and Jane,"Near Mint, Corners are great, Colors Vibrant",A,100.63,130.82
Marvel,14,The Invaders,The Invaders (First appearance of the Crusaders),"Small rip in cover, slight dent in bottom right corner, corners are o.k",B,21.78,28.31
Marvel,1,Ka-zar (volume 2),Ka-zar (volume 2),"Great Condion, corners are great, Colors vibrant",B+,63.68,82.78
Marvel,15,The Invaders,The Invaders (Battle against the Crusaders),"Corners are Great, Near mint",B+,77.88,101.25
Marvel,16,The Invaders,The Invaders (Battle against the Master man),"Near Mint, Corners are great, Colors Vibrant",A,23.56,30.62
Marvel,17,The Invaders,The Invaders (Battle against Warrior Woman),"Near mint, corners are great, slight mark on warrior woman's face",A,71.01,92.31
Marvel,10,The Invaders,The Invaders (Reprints Captin America Comics),"Corners are great, near mint, Bottom left corner ruffled, colors great",B+,88.58,115.16
Marvel,11,The Invaders,The Invaders (Battle against the Blue Bullet),"Corners are okay, colors great",B,45.17,58.73
Marvel,12,The Invaders,The Invaders (Spitfire Joins the Invaders),"Corners are great, colors are good, spine is good",B+,20.79,27.03
Marvel,13,The Invaders,The Invaders (The Golem Strikes),"Corners are good, Colors are vibrant",B+,93.09,121.02
Marvel,9,The Invaders,The Invaders (Union Jack vs. Baron Blood),"Corners are okay, Near Mint",B,80.78,105.01
Marvel,33,The Invaders,The Invaders (Thor and Union Jack),"Bottom right Corner torn (very slight), Colors are great",B+,74.90,97.37
Marvel,34,The Invaders,The Invaders (The Mighty Destroyer Strikes Back),"Bottom lelf corner is smudged, Good colors, good condition",B+,52.27,67.96
Marvel,1,The Invaders Annual,The Invaders Annual (Blockbusting Battle Issue),"Corners are great, Colors great, spine is a little off center",B+,84.02,109.22
Marvel,4,The Invaders,The Invaders (The Coming of U-man),"Corners good, spine has some rip",B+,64.76,84.19
Marvel,6,The Invaders,The Invaders (The Liberty Legion),"Great Condition, corners are great, Colors vibrant",B+,38.56,50.12
Marvel,8,The Invaders,The Invaders ( The coming of Union Jack),"good Condition, Top right corner is dented",B+,46.06,59.88
Marvel,32,The Invaders,"The Invaders (Hitler Controls Thor,god of thunder)","Near Mint, Corners are great, no fading",A,18.44,23.97
Marvel,29,The Invaders,The Invaders (Battle Teutonic Knight),"Near Mint, great Corners",A,17.62,22.91
Marvel,30,The Invaders,The Invaders ( Five against the flying death),"Near mint, good corners, colors are awesome",A,55.54,72.21
Marvel,31,The Invaders,The Invaders (Battle Against Frankenstein),"Near mint, colors great, corners pristeen",A,71.82,93.37
Marvel,27,The Invaders,The Invaders (Battle Agent Axis),"Near mint, colors great, corners pristeen",A,61.39,79.81
Marvel,28,The Invaders,The Invaders (The Kid Commandos),"Near Mint, Corners are great, Colors Vibrant",A,55.94,72.72
Marvel,24,The Invaders,The Invaders (Marvel Mystery),"Near Mint, Corners are good, colors are not faded",A,11.89,15.46
Marvel,25,The Invaders,The Invaders (The Scarlet Scarab Triumphant),"Near mint, corners are great",A,97.08,126.20
Marvel,23,The Invaders,The Invaders (The Scarlet Scarab Strikes),"Near mint, corners are great",A,10.58,13.76
Marvel,21,The Invaders,"The Invaders (The battle of Berlin,Marvel Mystery)","Near Mint, Corners are great",A,51.53,66.99
Marvel,22,The Invaders,The Invaders (Origin of Toro),"Near Mint, great Corners",A,91.35,118.76
Marvel,18,The Invaders,The Invaders (Re-Interoducint of The Destroyer),"Near mint, corners good",A,92.78,120.62
Marvel,19,The Invaders,The Invaders (Battle against Adolf Hitler),"Near Mint, good Condition",A,6.83,8.87
Marvel,20,The Invaders,"The Invaders (Return of Union Jack and Spitfire,Motion Picture Funnies)","Near Mint, good Condition",A,18.32,23.82
Marvel,1,Giant-Sized Super-villain Team-up,Super-Villain Team-Up (Dr.Doom And Sub-Mariner),"good Condition, bottom right corner is torn a bit",B+,92.14,119.79
DC,2,Hercules Unbound,Hercules Unbound (Man-God vs. The Hounds of Hell),"Slight tear on cover at top, black spots on front, good contion",B+,40.41,52.53
DC,3,Hercules Unbound,Hercules UnBound (Man-God vs. Immortal man),"Near mint, top right coner dented",A,81.44,105.88
DC,4,Hercules Unbound,Hercules Unbound (Immortal man Invades England),"Near mint, top right coner dented",A,55.39,72.01
DC,5,Hercules Unbound,Hercules Unbound (Hercules vs. Hunter Blood),"good corners, Mark over number and price, good condition",B+,34.52,44.88
DC,7,Hercules Unbound,Hercules Unbound (Hercules vs. the Master of the Lochness Monster),"Good corners, near mint",B+,24.15,31.39
DC,8,Hercules Unbound,Hercules Unbound (The Real Battle Begins),"slight Tear on Top right corner, good condition",B+,99.68,129.59
DC,9,Hercules Unbound,Hercules Unbound (Battle The might of the ages),"Top corner torn a bit, good condition",B+,22.19,28.84
Marvel,1,The Invaders,"The Invaders (First Issue, Battle over Britain)",Near mint,A,54.26,70.54
Marvel,17,The Champions,The Champions (The Last Stand),Near Mint,A,31.01,40.32
Marvel,16,The Champions,The Champions (Carnage In the Capital),Near Mint,A,56.17,73.01
Marvel,15,The Champions,The Champions (day of the Death-Drones),Near Mint,A,5.69,7.40
Marvel,14,The Champions,"The Champions (Introducing Swarm, invasion)",Near Mint,A,11.89,15.46
Marvel,13,The Champions,The Champions (The Doom that Went on Forever),Near Mint,A,56.03,72.84
Marvel,12,The Champions,The Champions (The Stranger Strikes),"Corners slightly dented, good condition",B+,1.65,2.14
Marvel,11,The Champions,"The Champions (Black Goliath,Art: John Byrne)",Near Mint,A,26.54,34.50
Marvel,10,The Champions,The Champions (Chamion vs. Champion),Near Mint,A,23.42,30.45
Marvel,9,The Champions,The Champions (the Battle of Los Angeles),"Slight Dent in top right corner, Mint",A+,50.85,66.11
Marvel,8,The Champions,The Champions (Messenger of Death),Near Mint,A,78.60,102.19
Marvel,7,The Champions,The Champions (Champions vs. The Man Who Created The Black widow),Near mint,A,62.97,81.86
Marvel,6,The Champions,The Champions (Champions vs. Marvel Mag),Near Mint,A,53.21,69.17
Marvel,5,The Champions,The Champions (Champions vs. Rampage),Near Mint,A,100.63,130.82
Marvel,4,The Champions,The Champions (Murder at Malibu),"Corners are okay, decient condition",B,73.86,96.02
Marvel,3,The Champions,The Champions (Assault on Olympus),Near Mint,A,26.13,33.97
Marvel,2,The Champions,"The Champions (Champions vs. Plutos,God of Hell)","Bottom Right corner creased, mint",A+,14.81,19.25
Marvel,1,The Champions,The Champions (Origins of The Champions),Mint,A+,25.98,33.78
